,brand,selling price,kilometer,Fuel Type,Transmission
0,2021 Maruti Swift VXI,₹5.94 Lakh,"28,286 km",Petrol,Manual
1,2014 Honda Amaze 1.5L I-DTEC SX,₹3.83 Lakh,"1,09,690 km",Diesel,Manual
2,2014 Toyota Etios V,₹3.93 Lakh,"61,614 km",Petrol,Manual
3,2011 Hyundai i10 SPORTZ 1.2,₹2.52 Lakh,"32,786 km",Petrol,Manual
4,2012 Honda Brio S MT,₹2.45 Lakh,"62,948 km",Petrol,Manual
5,2011 Toyota Etios G,₹2.71 Lakh,"68,709 km",Petrol,Manual
6,2011 Hyundai i10 SPORTZ 1.2,₹2.28 Lakh,"55,644 km",Petrol,Manual
7,2013 Maruti Swift Dzire VXI,₹4.15 Lakh,"34,929 km",Petrol,Manual
8,2014 Honda City 1.5L I-VTEC SV,₹4.29 Lakh,"72,419 km",Petrol,Manual
9,2014 Honda Brio S MT,₹3.27 Lakh,"34,076 km",Petrol,Manual
10,2016 Volkswagen Vento HIGHLINE 1.6 MPI,₹5.45 Lakh,"83,662 km",Petrol,Manual
11,2012 Honda City 1.5L I-VTEC V MT,₹4.22 Lakh,"49,070 km",CNG,Manual
12,2017 Mahindra XUV500 W4,₹6.65 Lakh,"57,768 km",Diesel,Manual
13,2014 Maruti Wagon R 1.0 LXI CNG,₹3.23 Lakh,"81,118 km",CNG,Manual
14,2019 Volkswagen Ameo HIGHLINE PLUS 1.5L AT 16 ALLOY,₹8.00 Lakh,"62,899 km",Diesel,Automatic
15,2012 Maruti Swift Dzire ZXI,₹3.83 Lakh,"64,966 km",Petrol,Manual
16,2014 Hyundai Verna FLUIDIC 1.6 CRDI SX,₹5.21 Lakh,"97,244 km",Diesel,Manual
17,2013 Honda Amaze 1.2L I-VTEC S,₹2.83 Lakh,"88,948 km",Petrol,Manual
18,2011 Toyota Etios G,₹2.35 Lakh,"88,327 km",Petrol,Manual
19,2013 Honda Amaze 1.5L I-DTEC VX,₹3.44 Lakh,"1,06,457 km",Diesel,Manual
